epoch_idx	precision@1	recall@1	F1@1	ndcg@1	precision@3	recall@3	F1@3	ndcg@3	precision@5	recall@5	F1@5	ndcg@5
1.0	0.5159628987312317	0.13251109421253204	0.20139096677303314	0.5159629248197735	0.44987985491752625	0.3290412127971649	0.353428453207016	0.4800091926075957	0.41746482253074646	0.4809111952781677	0.4102649390697479	0.49488838581368705
2.0	0.6184346079826355	0.1606491208076477	0.24384315311908722	0.6184346035015448	0.538963258266449	0.40322062373161316	0.42911770939826965	0.5773949699902238	0.5066684484481812	0.5803990960121155	0.5044357776641846	0.5958612321248973
3.0	0.6462410092353821	0.16933739185333252	0.25625017285346985	0.6462409886714727	0.5640233159065247	0.42467615008354187	0.45262807607650757	0.6035978123975706	0.5306212902069092	0.6135236024856567	0.5290755033493042	0.6258759024888059
4.0	0.6647785902023315	0.17527629435062408	0.2649925947189331	0.664778578784758	0.5718331336975098	0.436655730009079	0.4613052308559418	0.6169560451948932	0.5339855551719666	0.6160427331924438	0.5342455506324768	0.6332865329897436
5.0	0.6864057779312134	0.1834861934185028	0.2762634754180908	0.6864057672502575	0.5982663631439209	0.4584195911884308	0.4856540858745575	0.6433427100312902	0.5558788776397705	0.6259073615074158	0.5536180138587952	0.6498804015785229
6.0	0.705973207950592	0.1906541883945465	0.28617021441459656	0.7059732234809475	0.6122553944587708	0.47038015723228455	0.49784132838249207	0.6593739393205128	0.5654308199882507	0.6304301619529724	0.5633261799812317	0.660303202005527
7.0	0.7126673460006714	0.19216589629650116	0.2886672616004944	0.7126673532440783	0.6243563294410706	0.47892600297927856	0.507999837398529	0.6711925195051309	0.5760298371315002	0.6393194794654846	0.5739712119102478	0.6708317903816441
8.0	0.7260556221008301	0.19701790809631348	0.29552242159843445	0.7260556127703398	0.6355990171432495	0.4887636601924896	0.5179855823516846	0.6840100335432673	0.5931600332260132	0.6485492587089539	0.5890352129936218	0.6833406944434975
9.0	0.7481977343559265	0.2043875753879547	0.3055991530418396	0.7481977342945417	0.6500172019004822	0.4996618330478668	0.5310952663421631	0.6989357408873037	0.6073978543281555	0.6591811776161194	0.6033545136451721	0.6973732706372994
10.0	0.7749742269515991	0.21362020075321198	0.31837111711502075	0.7749742533470649	0.667181670665741	0.5131573677062988	0.545981764793396	0.71674610517648	0.6224167943000793	0.6715193390846252	0.6179165244102478	0.7125008085098941
11.0	0.7734294533729553	0.21203924715518951	0.3167237341403961	0.7734294541709578	0.6622897386550903	0.5179712176322937	0.5437047481536865	0.716571420198218	0.6197735071182251	0.6719868779182434	0.6150863170623779	0.7110976307313084
12.0	0.8032955527305603	0.2228890061378479	0.3314267098903656	0.8032955715756952	0.6866632103919983	0.5254626870155334	0.5610904097557068	0.7365995560733642	0.6410916447639465	0.6893190145492554	0.6365290284156799	0.7329859673996132
13.0	0.8043254613876343	0.2229870706796646	0.33177119493484497	0.8043254376930999	0.6827154159545898	0.5296130776405334	0.5601946711540222	0.7369938598654929	0.6439152359962463	0.703883707523346	0.641315758228302	0.7406675795800852
14.0	0.816683828830719	0.2285183221101761	0.33864763379096985	0.8166838311019567	0.7041709423065186	0.5391092300415039	0.5765347480773926	0.7536138739628344	0.6616203188896179	0.7154048085212708	0.6586217880249023	0.7551610777031428
